Facility PK,FacilityName,Service Category,Service Type,BuildingNumber,PartnerType,PartnerTypeDetailed,Address,Address 2,Borough,Zipcode,Latitude,Longitude,Phone,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Condoms (Male),FC2 (Female/Insertive Condoms),Lubricant,Facility Type,Website,Community Board,Council District,Census Tract,BIN,BBL,NTA
113739247,Diamond Wireless Repair,Free Safer Sex Products,Condoms and Lubricant,,Business,Retail Store,"96-15 Roosevelt Avenue,Ground",,Queens,11368,40.7493728,-73.8687602,(718) 205-2708,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this retail store. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,,
113739499,Trono de Mexico Sports Bar (Formerly Lucho's Bar),Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,38-19 69 Street,,Queens,11377,40.746894,-73.896422,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser/fishbowl located in the back near the restroom at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,false,,,,,,,,
113739446,Rising Phoenix Ink,Free Safer Sex Products,Condoms and Lubricant,,Business,Tattoo Parlor,"88-54 165 Street,Ground",,Queens,11432,40.708125,-73.796593,(347) 291-2058,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this tattoo parlor. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,,
113739421,Pain Ink,Free Safer Sex Products,Condoms and Lubricant,,Business,Tattoo Parlor,89-45 Elmhurst Avenue,,Queens,11373,40.747736,-73.876668,646-476-9532,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser located in the front near the entrance at this tattoo parlor. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Faceb,19000101000000.000000000,19000101000000.000000000,12:30 PM - 9:30 PM,12:30 PM - 9:30 PM,12:30 PM - 9:30 PM,12:30 PM - 9:30 PM,12:30 PM - 9:30 PM,12:30 PM - 9:30 PM,12:30 PM - 9:30 PM,true,false,true,,,,,,,,
113739222,Community Healthcare Network - Sutphin Health Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,"97-04 Sutphin Boulevard,n/a",,Queens,11435,40.6969931,-73.8058029,(718) 883-1176,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a dispenser located in the front at this clinical facility. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,false,false,,,,,,,,
113739444,Restivo,Free Safer Sex Products,Condoms and Lubricant,,Business,Restaurant,209 7 Avenue,,Manhattan,10011,40.743526,-73.996045,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located on the front bar beside window at this restaurant. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,,
113739395,Negocio Propio,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,180 East 104 Street,,Manhattan,10029,40.790476,-73.946173,(347) 961-7936,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,,
113739264,El Paisa Bar,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Other,"87-05 Northern Boulevard,Ground",,Queens,11372,40.756073,-73.880555,,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,,
113739171,Bella Ciao Hair Studio,Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Other,472 Marcus Garvey Boulevard,,Brooklyn,11216,40.680585,-73.93758,(718) 676-0507,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products at this location. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook community .,19000101000000.000000000,19000101000000.000000000,,,,,,,,true,true,true,,,,,,,,
113739166,Beauty Bar,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,231 East 14 Street,,Manhattan,10003,40.732958,-73.986361,212-255-5082,This location has confirmed it is open during the COVID-19 pandemic. We advise calling ahead before visiting and practice physical distancing at all times. Find free safer sex products inside a fishbowl located in the front near the entrance at this bar/lounge. <br <br These free safer sex products are supplied by the NYC Health Department's Condom Availability Program. Visit our <a href=http://nyc.gov/condoms website  to learn more or join our <a href=http://www.facebook.com/NYCcondom Facebook,19000101000000.000000000,19000101000000.000000000,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,5:00 PM - 4:00 AM,2:00 PM - 4:00 AM,2:00 PM - 4:00 AM,true,false,false,,,,,,,,
